aX,aY,aZ,gX,gY,gZ
-83.7,-447.1,1055.1,92,54,119
-90.8,-441.2,1050.4,51,59,88
-88.3,-440.7,1023.5,-32,71,42
-69.9,-446.2,990.0,-91,74,21
-92.1,-449.4,958.1,-132,67,20
-91.1,-436.5,922.4,-147,30,9
-90.0,-439.2,896.8,-136,24,2
-88.7,-438.6,874.5,-105,51,7
-80.6,-437.0,868.5,-68,75,14
-73.3,-434.4,864.1,-40,53,14
-67.2,-432.4,862.7,-19,-5,3
-65.6,-429.6,869.5,8,-33,8
131.3,-610.6,2046.6,-1440,347,293
126.8,-606.1,2085.2,-1810,439,406
100.7,-604.6,2072.7,-2186,335,443
72.1,-573.0,2036.2,-2513,77,410
63.9,-573.6,2019.5,-2765,-103,335
69.4,-574.7,2013.4,-2997,-89,303
61.5,-512.6,2071.4,-3164,43,332
68.6,-475.8,2205.3,-3312,204,326
106.0,-520.0,2284.7,-3600,429,371
116.9,-467.5,2247.2,-3972,783,568
113.2,-413.3,2130.6,-4349,1183,756
88.3,-370.5,1971.6,-4708,1215,843
23.3,-312.7,1809.9,-5054,853,841
-44.3,-220.9,1710.3,-5351,383,806
-130.7,-148.0,1677.5,-5574,50,751
-153.0,-97.6,1564.3,-5844,-45,708
-178.2,2.3,1405.2,-6025,249,807
-174.3,96.6,1208.4,-6158,877,951
-120.7,200.6,943.9,-6316,1500,1061
-58.6,340.0,703.2,-6410,1845,1097
0.4,453.7,503.6,-6440,1855,1032
15.2,547.5,287.9,-6438,1635,933
-7.8,658.7,86.9,-6335,1427,843
-72.6,724.4,-75.8,-6099,1292,741
-172.8,767.4,-186.2,-5821,1159,610
-272.2,815.9,-293.7,-5660,882,400
-350.4,855.8,-512.0,-5543,470,141
-415.3,905.2,-785.7,-5268,154,-51
-438.3,929.9,-1055.2,-4840,67,-209
-382.5,912.6,-1348.7,-4406,200,-384
-245.7,894.5,-1787.4,-4040,462,-480
-58.8,904.6,-2430.7,-3704,788,-391
129.3,1020.9,-3311.6,-3348,1276,-103
318.8,1201.9,-3958.0,-2606,1866,195
502.5,1316.7,-3996.5,-1236,2223,310
529.1,1213.0,-3996.5,475,2009,229
419.8,1025.3,-3893.9,2066,1058,-12
268.9,786.4,-3167.9,3199,-231,-371
201.7,521.8,-2388.2,3938,-1261,-746
154.0,302.8,-1754.6,4427,-1679,-866
111.5,99.6,-1294.8,4687,-1599,-776
66.9,-16.2,-1084.0,4669,-1309,-576
42.9,-68.8,-1009.9,4590,-951,-331
16.7,-128.7,-953.9,4531,-651,-61
-60.1,-151.2,-889.6,4436,-509,261
-195.0,-72.8,-860.3,4364,-536,512
-327.6,98.3,-825.2,4439,-637,522
-418.2,223.5,-766.4,4696,-737,257
-432.2,263.5,-634.0,5043,-839,-173
-385.8,271.0,-471.5,5395,-1008,-580
-305.6,300.0,-239.4,5652,-1285,-959
-206.1,236.6,-23.2,5725,-1647,-1300
-100.7,151.2,238.6,5747,-1898,-1473
-23.7,52.1,535.3,5583,-1888,-1450
38.8,-32.2,816.3,5142,-1653,-1262
84.9,-116.8,1028.2,4511,-1413,-983
87.7,5.2,1088.0,3915,-1284,-729
45.1,230.2,1002.2,3659,-1114,-707
57.0,363.0,955.1,3931,-577,-906
69.3,270.4,1118.3,4499,326,-959
45.5,194.5,1357.1,4850,1015,-820
32.3,170.8,1476.7,4803,920,-821
124.2,115.8,1593.1,4630,254,-975
247.5,4.5,1871.2,4411,-417,-1061
326.2,-115.2,2111.1,3955,-709,-936
363.9,-244.6,2209.8,3377,-514,-640
307.2,-354.5,2183.3,2813,6,-191
55.3,-320.9,2026.8,2405,527,262
-156.2,-241.1,1835.5,2222,861,443
-296.3,-243.9,1743.1,2206,985,381
-291.1,-316.2,1801.2,2225,791,159
-210.9,-446.9,1838.1,2066,398,-93
-95.0,-512.8,1803.2,1787,112,-227
12.3,-588.5,1763.6,1489,70,-271
85.0,-665.4,1693.6,1240,169,-218
83.0,-668.6,1567.2,1015,310,-80
11.2,-639.8,1423.1,833,491,49
-95.0,-621.8,1280.6,726,625,129
-195.1,-598.5,1176.7,684,606,137
-249.4,-576.9,1114.1,675,437,55
-245.6,-555.2,1085.1,716,198,-73
-193.1,-567.9,1116.3,788,-13,-197
-122.4,-585.7,1165.0,802,-113,-257
-86.3,-586.9,1221.7,733,-136,-256
-66.6,-583.5,1245.7,589,-122,-237
-62.6,-560.3,1241.0,449,-59,-172
-80.9,-520.7,1212.2,327,40,-115
-96.3,-491.7,1170.0,250,140,-87
-101.1,-456.0,1133.1,227,220,-74
-98.9,-432.1,1114.8,224,276,-79
-85.0,-420.9,1111.3,207,243,-93
-61.2,-409.7,1102.1,172,147,-105
-41.1,-396.7,1090.4,142,88,-84
-40.6,-398.5,1069.2,100,84,-34
-58.8,-381.6,1026.3,31,92,11
-82.1,-359.9,980.9,-44,103,21
-96.7,-345.6,930.9,-92,124,3
-105.8,-345.4,886.9,-104,154,-13
-116.0,-336.0,863.9,-83,177,-22
-113.8,-338.2,849.6,-50,157,-55
-101.3,-348.3,835.2,-11,81,-95
-92.2,-358.9,854.9,32,23,-111
-83.3,-372.0,872.7,44,7,-103
-75.0,-379.3,889.3,25,9,-81
47.8,-605.1,1972.6,-2121,53,0
67.3,-643.3,1932.6,-2539,57,121
89.5,-673.8,1930.8,-2901,31,244
101.9,-723.2,1942.5,-3281,65,395
106.5,-731.9,1966.3,-3677,251,608
105.4,-720.0,1992.7,-4054,515,848
68.7,-669.4,2012.8,-4407,702,1035
17.0,-588.9,2026.4,-4727,654,1094
-31.4,-567.8,2037.3,-5019,408,1027
-35.0,-564.1,2001.9,-5410,153,974
-74.5,-483.6,1880.5,-5782,92,1003
-55.0,-427.2,1791.9,-5973,289,1059
4.3,-395.0,1736.4,-6111,701,1225
32.0,-318.8,1598.2,-6349,1041,1458
7.1,-161.5,1373.7,-6605,1144,1630
-38.2,-64.8,1199.5,-6675,1060,1664
-62.5,25.1,1035.3,-6699,905,1589
-90.3,139.7,849.5,-6706,769,1526
-123.8,262.8,631.4,-6644,653,1386
-187.6,366.5,401.6,-6446,585,1176
-249.9,428.0,209.7,-6089,543,932
-269.3,481.3,66.6,-5703,631,765
-285.1,518.1,-48.8,-5365,838,700
-316.7,550.7,-131.0,-5061,1035,659
-361.1,586.3,-235.1,-4812,1070,504
-362.8,604.6,-384.7,-4574,932,221
-332.9,615.6,-517.4,-4274,678,-107
-299.8,640.5,-664.4,-3940,404,-417
-325.3,681.4,-859.7,-3571,201,-597
-401.9,724.6,-1080.3,-3160,137,-656
-441.6,753.8,-1348.3,-2849,205,-600
-460.1,831.9,-1725.2,-2664,321,-461
-426.4,971.6,-2312.3,-2521,505,-314
-258.2,1145.7,-3119.2,-2283,801,-207
-45.1,1302.6,-3833.1,-1590,1078,-202
182.5,1349.7,-3996.1,-434,1109,-335
281.0,1226.0,-3987.4,957,849,-474
251.9,1063.7,-3579.6,2315,401,-541
178.7,786.0,-2850.9,3345,-76,-669
141.2,545.0,-2193.9,4050,-452,-781
120.4,325.0,-1648.2,4547,-658,-766
81.4,172.9,-1242.0,4773,-769,-679
51.5,81.0,-1024.7,4746,-829,-576
22.3,34.9,-929.5,4653,-819,-461
34.8,-11.2,-864.9,4573,-809,-286
-12.4,-24.2,-782.6,4459,-919,-29
-161.3,86.6,-755.5,4428,-1105,154
-308.3,229.4,-757.1,4625,-1149,66
-372.2,305.4,-728.6,5034,-1033,-191
-392.0,325.5,-615.0,5530,-894,-467
-405.5,349.4,-440.9,5964,-853,-710
-392.7,396.4,-278.3,6249,-873,-953
-341.7,398.6,-83.4,6379,-887,-1220
-277.7,344.9,96.1,6366,-913,-1449
-206.3,251.8,303.3,6290,-943,-1541
-137.9,167.8,516.2,6092,-1012,-1515
-51.5,111.9,692.7,5735,-1170,-1437
54.3,45.1,807.8,5278,-1418,-1328
98.7,-1.5,893.4,4867,-1682,-1169
46.4,92.7,938.9,4636,-1652,-994
-41.0,314.0,965.9,4626,-1139,-927
-51.9,504.1,1092.8,4882,-424,-1032
-10.1,507.8,1481.6,5248,-126,-1294
74.1,401.1,1966.6,5454,-540,-1589
163.1,224.5,2361.6,5240,-976,-1734
237.7,-8.4,2623.5,4641,-868,-1658
292.9,-208.9,2675.2,3783,-221,-1346
348.4,-324.5,2523.3,2928,731,-848
403.5,-389.7,2282.0,2266,1492,-346
376.0,-366.5,1963.7,1820,1754,52
260.7,-273.3,1639.7,1732,1664,300
138.0,-246.2,1481.6,1926,1491,365
56.2,-280.7,1487.3,2111,1177,337
-7.2,-334.5,1531.6,2087,688,259
-40.5,-326.6,1602.2,2008,187,129
-92.8,-329.0,1643.8,1796,-55,-23
-114.9,-378.1,1672.5,1503,-38,-132
-101.3,-428.2,1673.5,1204,65,-172
-67.1,-451.6,1653.1,919,146,-131
-36.2,-444.3,1615.0,632,194,-71
-28.7,-403.3,1511.6,414,233,-10
-30.0,-368.4,1408.6,364,314,31
-37.5,-350.5,1326.1,423,406,60
-50.6,-366.9,1293.6,475,445,75
-62.5,-379.8,1248.3,437,370,81
-79.5,-372.8,1187.3,373,241,78
-93.2,-368.6,1139.5,319,148,59
-114.2,-375.6,1116.5,238,90,30
-118.0,-385.5,1081.4,113,40,1
-117.0,-370.4,1051.3,19,15,-8
-140.5,-352.0,1010.6,-28,12,-7
-151.8,-331.0,973.4,-13,28,-23
-144.0,-323.4,954.5,27,62,-44
-144.1,-321.6,939.6,64,121,-50
-135.5,-315.0,931.3,95,164,-49
-110.5,-306.2,920.2,118,191,-49
-80.4,-309.0,922.0,135,176,-49
-74.9,-312.7,933.1,125,127,-47
-85.2,-314.0,949.3,78,61,-55
-95.8,-315.5,967.7,38,4,-63
-115.0,-324.3,984.9,8,-10,-51
-136.3,-319.6,984.4,-27,-18,-34
-150.1,-304.1,979.9,-35,-29,-24
-140.3,-292.9,966.7,-23,-25,-30
215.2,-439.6,2491.6,-1460,-1041,118
226.6,-513.5,2514.7,-2046,-844,329
226.7,-552.0,2390.8,-2646,-441,609
202.3,-522.9,2220.3,-3128,-90,841
173.4,-487.0,2061.7,-3447,62,972
162.6,-460.4,2000.4,-3655,55,1006
166.7,-432.4,2037.0,-3830,-91,991
188.0,-441.3,2094.9,-4019,-264,994
184.1,-457.7,2081.9,-4331,-233,1099
149.7,-410.0,2019.1,-4717,-17,1315
79.3,-344.8,1943.9,-5079,161,1504
30.5,-299.3,1876.1,-5422,223,1600
2.7,-244.1,1764.6,-5767,254,1662
7.7,-151.8,1619.3,-6071,403,1748
-4.0,-79.1,1450.1,-6295,732,1900
-19.4,6.5,1262.8,-6474,1166,2068
-37.1,116.4,1047.0,-6582,1559,2194
-55.1,217.0,805.7,-6557,1734,2172
-61.1,295.9,627.6,-6465,1717,2021
-77.8,357.3,456.0,-6386,1462,1806
-111.5,416.5,331.7,-6236,996,1525
-141.4,443.0,172.8,-6039,530,1228
-157.1,491.3,43.9,-5766,227,993
-198.5,499.0,-66.6,-5446,189,835
-256.2,512.6,-156.4,-5098,336,776
-343.6,518.6,-256.1,-4796,572,770
-418.2,550.5,-383.2,-4499,767,737
-502.8,581.8,-538.0,-4241,826,629
-545.0,647.7,-755.2,-3961,780,417
-550.8,688.2,-1054.6,-3613,753,150
-514.6,672.7,-1324.1,-3175,763,-83
-457.1,612.9,-1539.5,-2746,730,-258
-395.9,556.6,-1777.5,-2381,587,-366
-409.6,530.8,-2064.0,-2035,424,-360
-430.3,577.4,-2393.4,-1606,384,-272
-437.7,630.7,-2762.6,-1075,529,-201
-387.2,646.5,-3095.1,-408,770,-175
-311.6,669.2,-3288.1,444,882,-215
-274.1,665.6,-3285.7,1395,813,-292
-271.5,631.6,-3092.7,2336,646,-402
-295.6,566.6,-2743.5,3193,438,-515
-351.4,477.3,-2374.5,3864,199,-614
-395.9,417.5,-2018.2,4360,10,-714
-428.8,349.7,-1710.9,4734,-114,-812
-433.8,291.8,-1436.9,5073,-181,-870
-412.0,227.2,-1165.5,5329,-213,-887
-375.3,172.0,-920.0,5468,-317,-884
-356.7,179.8,-733.5,5523,-505,-866
-335.4,209.8,-576.5,5573,-705,-901
-306.5,258.3,-422.6,5680,-889,-1013
-287.7,314.3,-271.8,5863,-994,-1181
-253.2,378.7,-90.2,6068,-970,-1385
-201.7,393.7,89.5,6181,-862,-1588
-130.4,379.4,326.5,6214,-700,-1707
-57.7,326.0,597.9,6019,-548,-1721
0.5,289.5,819.8,5595,-428,-1574
62.7,280.4,1000.6,5031,-278,-1366
96.9,335.9,1056.2,4440,-179,-1195
150.5,498.6,1040.8,4149,-212,-1153
187.9,608.5,1044.6,4289,-401,-1263
243.0,559.4,1259.7,4681,-603,-1432
289.4,397.6,1541.0,4923,-936,-1578
285.8,245.5,1731.1,4892,-1116,-1592
269.5,98.9,1909.8,4707,-823,-1415
255.7,-55.4,2064.9,4290,-249,-1183
263.4,-196.1,2053.0,3667,361,-886
301.1,-222.9,2010.1,3074,740,-535
253.8,-223.1,1900.8,2575,675,-278
113.1,-151.9,1778.2,2397,478,-161
-25.7,-150.8,1730.0,2425,517,-167
-82.1,-212.3,1761.3,2513,640,-288
-46.2,-317.9,1838.1,2511,588,-431
56.5,-361.7,1933.3,2369,318,-540
98.6,-442.9,2005.8,2078,51,-602
178.2,-527.8,2102.4,1759,-71,-643
226.6,-603.3,2122.7,1316,-53,-612
245.3,-627.7,2031.3,871,82,-445
224.1,-608.5,1899.5,546,267,-226
149.9,-559.4,1738.0,372,381,-55
60.3,-549.2,1605.0,341,362,19
6.2,-576.0,1503.0,351,254,15
-7.3,-586.0,1420.6,333,145,-1
7.1,-574.7,1351.8,296,45,-6
20.6,-572.3,1289.8,212,4,1
19.2,-559.4,1188.3,100,49,55
-10.2,-528.6,1094.2,22,176,143
-61.9,-466.4,986.7,-67,317,220
-83.1,-418.1,861.6,-113,417,205
-62.6,-387.1,795.3,-36,446,174
-51.2,-363.9,780.1,74,387,143
-78.2,-336.1,815.2,192,221,103
-116.8,-310.0,896.6,274,25,36
-129.6,-309.3,962.9,281,-84,-31
-126.6,-315.9,1013.1,268,-80,-61
-105.3,-322.7,1043.6,222,-21,-64
-57.3,-337.3,1051.3,136,68,-55
-17.8,-335.6,1045.2,50,134,-15
6.3,-328.8,1020.7,-29,179,34
16.0,-330.6,982.6,-89,217,84
-4.6,-319.9,942.1,-119,237,142
-60.0,-286.2,906.5,-101,213,168
-104.6,-285.1,896.9,-51,128,121
-115.8,-299.3,905.6,-6,46,59
-106.0,-316.5,911.6,12,-2,16
-13.9,-583.6,2215.2,-1335,-375,161
28.3,-621.0,2293.2,-1811,-454,243
76.5,-613.7,2331.4,-2293,-418,371
138.0,-619.4,2392.5,-2738,-228,537
172.1,-609.1,2461.7,-3174,166,772
189.8,-599.4,2505.0,-3614,734,1050
154.3,-557.4,2533.7,-4052,1311,1330
110.2,-530.1,2544.6,-4498,1652,1501
55.9,-508.6,2484.3,-5021,1669,1561
-29.0,-430.3,2377.5,-5534,1394,1527
-97.6,-398.3,2230.6,-5931,972,1379
-147.3,-536.6,1963.5,-6227,699,1258
-144.0,-463.1,1833.3,-6332,801,1331
-121.1,-153.7,1896.0,-6300,1085,1509
-142.6,-26.1,1846.6,-6421,1308,1537
-108.3,81.4,1643.3,-6667,1526,1542
-58.6,202.9,1460.0,-6716,1827,1575
-9.5,290.4,1354.8,-6738,2074,1540
40.3,395.8,1179.3,-6936,2053,1439
73.0,531.4,911.1,-7095,2003,1336
118.3,656.0,682.7,-7083,2112,1285
72.8,771.7,470.2,-6947,2264,1262
-4.8,886.3,256.2,-6644,2346,1116
-106.4,946.8,102.6,-6254,2392,886
-232.0,1010.0,13.5,-5891,2300,605
-304.3,1070.4,-104.7,-5662,2006,206
-307.9,1120.0,-281.7,-5510,1486,-240
-266.3,1173.3,-523.7,-5316,853,-658
-179.2,1203.7,-800.2,-5005,332,-998
-45.6,1237.7,-1067.6,-4612,51,-1228
89.3,1230.9,-1450.9,-4272,-38,-1288
101.0,1273.6,-1976.2,-3879,139,-1028
54.9,1365.2,-2583.0,-3362,680,-592
88.8,1474.4,-3187.1,-2716,1206,-281
204.1,1572.5,-3781.3,-1963,1405,-218
360.8,1595.0,-3995.7,-901,1210,-362
431.1,1501.0,-3996.5,496,650,-580
374.8,1349.7,-3779.4,1957,-19,-754
241.7,1104.8,-3093.3,3099,-503,-878
156.9,778.1,-2410.1,3924,-739,-978
129.4,520.3,-1845.4,4413,-905,-969
94.4,333.2,-1470.3,4593,-956,-853
50.8,225.6,-1302.6,4639,-884,-647
-51.9,185.9,-1233.9,4731,-683,-372
-143.7,163.6,-1163.6,4841,-467,-100
-228.6,202.2,-1116.2,4915,-440,75
-316.2,284.6,-1102.9,5088,-640,86
-362.1,376.4,-1028.0,5416,-928,-110
-363.2,406.0,-880.0,5798,-1199,-463
-322.2,396.7,-669.8,6160,-1473,-825
-273.2,372.8,-428.1,6376,-1703,-1104
-241.9,348.3,-205.9,6420,-1883,-1321
-228.5,308.2,6.6,6367,-1939,-1459
-166.5,178.6,278.2,6214,-1876,-1498
-109.6,103.8,474.0,5834,-1699,-1406
-88.3,81.5,548.3,5366,-1340,-1200
-99.9,117.5,535.9,4972,-844,-977
-105.0,255.0,427.9,4831,-430,-834
-105.3,471.4,352.6,5103,-336,-938
-14.6,531.7,440.7,5608,-763,-1337
161.2,511.2,688.6,6084,-1616,-1769
372.5,434.8,1005.5,6314,-2326,-2035
533.5,251.6,1393.1,6242,-2398,-1999
576.2,37.2,1785.2,5800,-1905,-1623
512.5,-63.3,1940.9,4971,-957,-965
388.2,-70.5,1910.8,4023,339,-158
226.7,187.4,1808.2,3308,1364,567
-50.4,551.1,1611.7,3131,1709,934
-307.9,711.7,1628.0,3524,1526,735
-440.5,577.9,1930.0,4038,1027,219
-427.2,300.5,2308.7,4199,474,-292
-277.1,36.5,2523.6,3842,131,-597
-54.5,-161.9,2540.3,3211,201,-665
169.9,-307.7,2488.9,2595,513,-518
288.5,-402.7,2370.9,2034,791,-242
290.0,-420.4,2240.8,1509,843,57
138.6,-389.9,2093.0,1090,704,277
-47.8,-336.8,1918.1,906,440,312
-196.4,-321.0,1821.1,885,210,215
-270.8,-373.9,1790.3,818,65,69
-265.4,-402.2,1714.2,591,-29,-67
-193.7,-395.5,1573.4,329,-57,-162
-105.9,-392.0,1430.6,126,-42,-207
-29.2,-400.0,1312.5,-18,-55,-215
-15.0,-395.3,1205.7,-127,-117,-186
-57.2,-369.4,1118.5,-197,-174,-142
-96.9,-344.0,1036.6,-224,-167,-121
-123.6,-319.2,954.5,-182,-75,-103
-152.1,-310.2,900.7,-58,50,-94
-153.4,-318.8,900.4,83,128,-110
-142.9,-337.8,914.5,167,152,-123
-129.9,-343.3,945.1,195,132,-126
-107.4,-359.9,982.5,180,75,-127
-107.0,-368.9,1032.1,135,39,-96
-118.1,-353.6,1050.3,15,26,-51
-122.2,-326.6,1017.5,-122,32,-25
-114.3,-299.3,984.3,-192,54,-11
-103.6,-268.2,938.4,-196,102,-4
-89.3,-251.4,910.4,-124,172,-6
-63.0,-269.5,922.3,-22,212,-20
-53.6,-278.0,943.3,48,188,-17
-84.2,-279.1,964.5,85,126,-2
