aX,aY,aZ,gX,gY,gZ
911.7,1035.2,-3928.3,-1808,1595,-44
869.9,1066.0,-3968.4,-451,1679,213
719.3,930.0,-3632.2,982,1099,176
617.3,768.2,-3158.1,2104,98,-38
549.7,488.9,-2728.3,2870,-839,-309
504.0,233.3,-2349.0,3492,-1401,-468
453.0,182.0,-1971.5,3995,-1346,-347
401.5,211.2,-1799.9,4150,-963,-66
323.7,352.6,-1748.5,4279,-632,182
240.8,473.5,-1688.1,4520,-501,371
126.5,537.0,-1531.8,4874,-673,422
27.6,554.2,-1307.1,5203,-1113,335
-58.6,612.6,-1051.4,5508,-1679,154
-155.7,735.0,-783.5,5868,-2180,-93
-176.4,789.2,-483.2,6249,-2498,-485
-138.8,766.0,-132.5,6519,-2703,-928
-63.8,575.6,258.9,6565,-2765,-1330
70.5,395.2,670.1,6380,-2603,-1457
147.0,261.3,969.9,5912,-2059,-1217
161.3,221.2,1194.9,5370,-1266,-825
147.9,286.7,1430.3,4998,-724,-584
172.0,282.6,1564.0,4801,-494,-630
271.8,211.3,1650.2,4673,-299,-765
337.8,57.2,1747.7,4563,-160,-812
352.6,-94.7,1811.8,4409,-311,-784
271.0,-248.3,1765.3,4170,-557,-706
146.5,-456.4,1732.9,3966,-556,-580
41.2,-746.2,1717.8,3645,-215,-450
90.5,-687.5,1694.0,3201,365,-215
142.9,-574.6,1600.2,2804,700,79
144.2,-478.1,1522.3,2617,507,221
78.2,-380.3,1518.3,2556,65,206
-12.7,-426.8,1581.1,2533,-352,55
-90.2,-504.6,1639.4,2492,-517,-69
-133.0,-567.1,1725.0,2416,-351,-87
-183.7,-641.1,1740.5,2251,-36,-34
-181.8,-662.9,1720.7,2047,245,41
-178.7,-658.4,1628.9,1756,419,76
-167.0,-606.2,1455.7,1491,564,122
-177.6,-555.0,1358.2,1364,649,147
-161.5,-544.9,1311.0,1263,467,29
-118.3,-573.2,1300.6,1199,94,-130
-96.5,-588.7,1333.3,1168,-256,-247
-47.6,-630.5,1360.3,1140,-419,-301
-31.4,-657.3,1400.9,1108,-327,-235
-42.9,-670.9,1420.4,1025,-105,-96
-74.9,-649.9,1395.3,894,110,32
-106.9,-609.6,1334.3,733,242,118
-136.5,-552.4,1271.7,571,325,148
-132.6,-513.5,1213.9,435,337,118
-121.8,-497.3,1177.1,355,229,22
-91.0,-496.9,1153.6,316,63,-124
-43.3,-513.6,1144.1,307,-25,-201
-11.3,-524.6,1151.3,292,-5,-200
5.6,-538.1,1139.5,232,42,-162
12.8,-533.3,1111.3,148,59,-107
2.4,-520.0,1061.4,59,79,-41
-15.4,-488.7,1009.3,-8,124,20
-28.3,-459.8,956.2,-57,162,49
-23.3,-446.9,899.5,-62,162,55
-23.4,-424.8,862.5,-36,122,41
-17.8,-410.5,837.5,24,79,12
-10.1,-429.4,847.7,88,69,-4
-14.8,-436.9,863.6,103,60,-9
-24.9,-446.0,868.8,71,54,-7
-31.7,-450.3,871.3,19,79,-1
-27.1,-448.4,862.2,-21,93,16
-34.8,-447.9,847.2,-34,79,39
-48.4,-436.3,843.5,-23,63,64
-73.3,-422.5,854.6,-3,59,78
-10.0,-877.4,2043.7,-846,-63,-187
2.8,-928.1,2225.0,-1129,-287,-215
28.1,-957.5,2376.2,-1470,-427,-194
31.4,-940.4,2465.9,-1847,-333,-86
35.0,-897.6,2500.0,-2209,-1,80
31.8,-815.1,2502.0,-2540,451,275
20.5,-711.6,2493.3,-2840,845,425
15.6,-616.0,2498.7,-3148,1191,536
-9.5,-483.2,2515.0,-3503,1464,630
-42.0,-320.0,2492.2,-3905,1630,676
-82.0,-169.3,2446.0,-4313,1692,652
-120.3,-5.7,2346.7,-4773,1547,521
-99.1,173.2,2144.9,-5239,1090,342
-77.7,345.4,1933.6,-5566,619,214
-75.8,458.8,1774.7,-5781,454,208
-59.9,574.9,1607.6,-6005,561,285
-41.5,619.8,1353.3,-6252,716,402
-31.1,697.7,1050.9,-6462,868,523
-41.5,816.7,773.7,-6533,995,598
-44.0,885.1,526.1,-6523,1152,584
-105.5,933.3,281.9,-6411,1287,519
-159.9,942.6,67.1,-6193,1401,362
-197.6,908.4,-117.2,-5914,1480,181
-215.2,872.3,-261.3,-5598,1445,8
-210.9,827.6,-405.5,-5312,1247,-161
-181.7,785.9,-591.9,-5037,866,-333
-148.5,749.8,-790.2,-4747,374,-530
-97.8,681.9,-979.3,-4463,-144,-749
-36.5,590.1,-1229.5,-4190,-612,-921
-64.3,437.0,-1569.0,-3917,-909,-943
-196.3,82.7,-2055.3,-3758,-865,-864
-173.9,10.4,-2613.2,-3664,-454,-717
39.8,508.7,-3301.2,-3532,324,-209
228.3,857.8,-3950.4,-3029,1350,359
343.3,1163.3,-3996.5,-1724,2330,741
292.8,1076.9,-3996.5,-119,2563,771
253.8,870.2,-3832.5,1356,1795,434
235.7,667.1,-3171.6,2468,473,49
206.7,410.7,-2470.9,3345,-765,-340
198.4,104.2,-1867.7,4014,-1522,-672
227.2,-67.7,-1329.8,4462,-1730,-788
192.8,-149.0,-1017.4,4572,-1601,-678
124.8,-134.2,-853.5,4554,-1332,-520
64.5,-75.8,-763.5,4533,-1070,-432
53.1,-92.7,-672.8,4552,-901,-399
57.1,-127.6,-549.4,4557,-863,-359
59.8,-163.1,-427.2,4469,-944,-291
36.0,-115.2,-326.7,4369,-1091,-220
-23.2,4.1,-250.7,4332,-1233,-238
-76.9,111.0,-198.6,4402,-1254,-401
-70.0,139.7,-111.0,4555,-1215,-655
-21.0,154.0,4.0,4708,-1181,-885
35.3,155.6,106.8,4811,-1225,-1044
88.1,127.9,290.6,4859,-1323,-1132
140.3,11.2,514.2,4776,-1465,-1218
192.4,-114.8,763.1,4525,-1618,-1222
224.1,-205.0,956.5,4093,-1662,-1115
237.0,-252.3,1018.1,3588,-1514,-912
215.0,-110.3,1004.4,3276,-1061,-677
144.6,21.6,936.6,3283,-357,-554
159.5,13.1,976.0,3603,300,-583
185.8,-61.1,1131.6,3961,591,-597
201.2,-139.2,1320.8,4161,405,-635
196.8,-247.1,1514.9,4125,-62,-753
198.5,-367.7,1741.3,3882,-400,-832
174.3,-464.8,1969.3,3477,-372,-748
131.8,-549.0,2067.3,2953,-19,-528
33.3,-560.1,1991.2,2429,562,-230
-68.8,-497.0,1799.1,2113,1197,15
-131.1,-470.7,1597.8,2042,1679,122
-141.9,-514.6,1500.7,2102,1861,135
-91.5,-534.0,1478.5,2087,1537,82
-43.9,-554.7,1503.5,2008,796,-97
13.8,-591.9,1551.2,1925,60,-265
38.3,-625.9,1645.5,1797,-230,-280
1.5,-697.1,1703.2,1508,-110,-200
-25.1,-710.0,1622.0,1150,134,-87
-57.2,-696.5,1495.6,888,345,41
-107.5,-640.4,1327.4,753,527,141
-156.6,-601.7,1232.6,783,713,190
-155.7,-570.8,1200.8,822,764,187
-124.3,-547.5,1180.1,810,561,124
-80.6,-546.1,1176.6,799,194,33
-47.2,-562.8,1210.8,792,-73,0
-28.4,-585.8,1268.6,714,-143,35
-51.9,-570.4,1289.9,535,-76,77
-83.4,-558.4,1248.7,332,16,92
-110.3,-541.1,1171.0,189,96,110
-138.7,-511.2,1096.4,114,174,121
-146.8,-497.9,1032.6,88,255,99
-117.5,-491.3,988.0,95,310,82
-80.3,-474.6,954.8,106,307,91
-57.0,-459.8,935.7,115,236,96
-44.3,-457.6,934.4,118,112,87
-33.4,-458.6,936.5,96,17,82
-46.1,-445.2,938.8,60,5,97
-52.2,-450.9,938.4,6,40,94
-59.7,-454.7,928.7,-56,59,82
-69.9,-448.2,903.5,-99,59,77
-77.0,-444.2,888.4,-98,66,77
-86.0,-429.3,874.4,-84,83,76
-86.1,-418.5,857.5,-51,101,73
-87.7,-420.3,857.3,-16,97,71
-79.2,-417.1,850.2,13,58,70
-18.2,-776.0,2057.4,-1011,-80,-365
47.9,-845.2,2272.1,-1280,-296,-352
80.0,-860.2,2478.7,-1676,-490,-321
115.7,-831.4,2632.6,-2126,-575,-260
120.5,-791.3,2779.9,-2547,-469,-114
78.7,-693.9,2864.6,-3034,-231,64
74.7,-548.3,2861.3,-3549,21,176
94.9,-379.9,2784.3,-4034,324,311
99.3,-156.5,2672.7,-4482,701,495
113.9,39.0,2515.0,-4954,968,589
163.6,202.0,2294.3,-5489,949,612
196.7,376.9,1973.8,-6065,646,636
228.9,560.8,1605.8,-6525,285,709
195.3,654.8,1267.8,-6758,74,806
164.9,715.8,991.0,-6813,78,935
120.8,767.1,731.9,-6758,208,1007
97.2,826.8,463.2,-6568,468,1036
88.0,808.0,268.8,-6262,853,1089
91.6,783.6,114.9,-5936,1139,1143
93.6,778.8,-42.8,-5652,1169,1141
71.7,765.8,-176.5,-5290,990,1099
11.1,705.4,-285.0,-4949,662,1052
-109.9,676.6,-410.4,-4712,272,965
-249.9,659.7,-599.3,-4548,-171,811
-358.7,629.4,-809.7,-4380,-646,597
-442.5,590.6,-974.8,-4241,-1087,281
-460.8,495.4,-1233.4,-4163,-1415,-43
-422.2,421.9,-1582.3,-4017,-1467,-157
-394.7,382.7,-2054.0,-3793,-1172,-75
-413.8,412.2,-2770.1,-3544,-488,205
-361.7,573.8,-3533.1,-3099,568,543
-225.3,768.1,-3985.7,-2188,1624,681
-110.9,800.1,-3996.5,-818,2143,606
-108.5,607.4,-3926.8,647,1836,363
-186.2,450.9,-3404.2,1841,772,100
-276.6,281.0,-2785.1,2729,-492,-172
-315.9,200.9,-2165.3,3407,-1406,-441
-385.6,76.5,-1644.2,3854,-1763,-716
-387.4,-44.2,-1261.8,4103,-1629,-955
-428.5,-219.6,-1011.7,4266,-1144,-1046
-456.3,-315.7,-893.7,4286,-528,-976
-432.0,-303.9,-845.3,4267,29,-861
-386.6,-294.9,-791.4,4294,387,-782
-345.4,-300.4,-736.3,4360,493,-755
-338.1,-325.3,-648.2,4429,364,-782
-300.5,-293.8,-541.9,4465,67,-872
-241.6,-172.5,-427.5,4506,-306,-1018
-209.0,-147.0,-265.8,4506,-643,-1224
-139.6,-170.8,-92.1,4477,-841,-1397
-62.8,-215.1,82.8,4392,-809,-1390
-23.2,-202.2,226.1,4265,-532,-1276
-4.0,-197.9,373.8,4107,-101,-1163
60.8,-206.5,522.3,3892,246,-1060
128.8,-203.6,628.3,3642,334,-940
198.0,-218.3,721.0,3418,140,-820
247.9,-268.3,866.6,3160,-279,-710
289.0,-280.8,934.6,2842,-868,-617
280.1,-172.1,910.1,2733,-1321,-482
190.1,-109.4,952.8,2857,-1271,-332
90.0,-111.8,992.8,3059,-779,-233
48.4,-75.3,996.4,3315,-239,-132
18.4,-73.1,1092.1,3645,47,-75
24.8,-140.2,1325.8,3884,48,-105
73.2,-212.3,1587.7,3854,-67,-113
100.4,-264.6,1788.3,3624,-109,-45
122.9,-317.3,1914.5,3310,61,89
122.2,-396.9,1932.7,2937,432,277
85.2,-444.0,1849.0,2574,858,516
12.7,-434.7,1712.1,2209,1101,664
-52.2,-424.4,1512.6,1931,1123,686
-130.4,-379.2,1382.3,1823,1030,643
-174.8,-361.9,1349.1,1750,743,453
-163.1,-396.1,1331.8,1663,313,194
-164.3,-425.5,1380.6,1610,4,23
-141.2,-455.7,1398.0,1536,-145,-89
-107.0,-481.0,1383.6,1407,-134,-143
-80.8,-498.1,1344.6,1242,-12,-153
-40.3,-511.8,1306.9,1073,131,-134
-30.5,-509.6,1256.0,931,245,-79
-68.6,-480.9,1244.5,822,256,-64
-90.0,-482.5,1223.3,719,132,-128
-103.1,-481.3,1187.7,666,7,-163
-134.4,-471.0,1167.9,655,-12,-168
-141.8,-462.4,1161.8,645,-7,-191
-120.4,-457.3,1148.4,622,-35,-220
-97.4,-465.8,1146.3,576,-62,-230
-85.5,-482.8,1148.4,488,-39,-229
-74.5,-488.5,1130.8,383,35,-206
-74.7,-472.6,1125.9,299,128,-161
-77.5,-460.6,1108.4,207,193,-145
