aX,aY,aZ
249.9,-265.5,765.2
390.4,-421.6,687.1
562.2,749.6,671.5
437.2,-687.1,1686.5
-843.3,406.0,843.3
-327.9,-203.0,1358.6
249.9,-62.5,765.2
499.7,-406.0,765.2
327.9,249.9,624.6
406.0,-421.6,1327.4
-858.9,452.9,983.8
-452.9,-234.2,1467.9
-78.1,-46.8,718.3
484.1,-234.2,546.6
171.8,218.6,749.6
421.6,0.0,1280.5
0.0,140.5,1264.9
-655.9,-78.1,1015.0
-343.6,124.9,983.8
390.4,-203.0,702.7
218.6,-218.6,749.6
671.5,577.8,905.7
296.7,-187.4,1311.7
-1077.5,203.0,952.6
-390.4,78.1,999.4
359.2,-452.9,749.6
281.1,-218.6,765.2
687.1,905.7,812.0
406.0,-421.6,1686.5
-1124.4,78.1,921.3
-359.2,-78.1,1077.5
390.4,-234.2,812.0
312.3,-374.8,718.3
437.2,874.5,780.8
468.5,-640.3,1624.1
-1108.7,484.1,858.9
-374.8,-187.4,1405.4
171.8,-218.6,734.0
421.6,-281.1,749.6
437.2,671.5,812.0
406.0,-530.9,1592.8
-718.3,515.3,843.3
-390.4,-203.0,1421.1
156.2,-78.1,749.6
406.0,-359.2,655.9
296.7,671.5,655.9
390.4,-468.5,1218.0
-687.1,374.8,1061.9
-499.7,-343.6,1499.1
-140.5,78.1,780.8
452.9,-281.1,640.3
249.9,93.7,749.6
530.9,343.6,1186.8
-140.5,-31.2,1280.5
-577.8,-218.6,1140.0
-171.8,140.5,827.6
421.6,-312.3,702.7
218.6,-31.2,749.6
546.6,312.3,952.6
187.4,-46.8,1264.9
-874.5,31.2,1093.1
-406.0,156.2,999.4
374.8,-234.2,765.2
234.2,-249.9,827.6
640.3,827.6,749.6
343.6,-234.2,1374.2
-1093.1,187.4,983.8
-452.9,-46.8,983.8
390.4,-374.8,780.8
359.2,-281.1,796.4
624.6,718.3,796.4
390.4,-593.4,1733.4
-968.2,343.6,843.3
-452.9,-187.4,1296.1
359.2,-124.9,734.0
390.4,-312.3,780.8
640.3,671.5,702.7
390.4,-499.7,1717.8
-921.3,484.1,905.7
-452.9,-109.3,1530.4
343.6,-156.2,718.3
437.2,-359.2,874.5
390.4,359.2,624.6
359.2,-577.8,1483.5
-468.5,421.6,983.8
-421.6,-296.7,1514.8
15.6,171.8,796.4
468.5,-249.9,624.6
234.2,234.2,655.9
406.0,-93.7,905.7
-31.2,187.4,1186.8
-640.3,-78.1,1311.7
-312.3,171.8,765.2
437.2,-249.9,765.2
249.9,109.3,702.7
624.6,515.3,905.7
249.9,-109.3,1233.7
-983.8,-109.3,1061.9
-374.8,265.5,968.2
390.4,-374.8,780.8
249.9,-171.8,765.2
671.5,577.8,937.0
281.1,-577.8,1233.7
-983.8,249.9,952.6
-374.8,78.1,1061.9
343.6,-234.2,843.3
281.1,-312.3,734.0
687.1,937.0,843.3
374.8,-640.3,1530.4
-1077.5,406.0,968.2
-406.0,-187.4,1389.8
312.3,-203.0,702.7
390.4,-281.1,718.3
484.1,702.7,780.8
374.8,-562.2,1639.7
-1061.9,359.2,874.5
-406.0,-93.7,1374.2
218.6,-218.6,734.0
374.8,-390.4,718.3
452.9,624.6,624.6
390.4,-593.4,1639.7
-718.3,390.4,937.0
-437.2,-296.7,1483.5
218.6,93.7,734.0
484.1,-281.1,702.7
296.7,93.7,593.4
437.2,-359.2,1296.1
-281.1,93.7,1093.1
-515.3,-124.9,1249.3
-78.1,140.5,796.4
484.1,-265.5,702.7
171.8,-46.8,687.1
499.7,187.4,858.9
78.1,-312.3,1140.0
-702.7,15.6,1296.1
-374.8,203.0,968.2
421.6,-171.8,827.6
234.2,-218.6,843.3
671.5,827.6,749.6
296.7,-281.1,1358.6
-1061.9,281.1,1030.7
-406.0,-15.6,983.8
390.4,-359.2,780.8
343.6,-281.1,812.0
593.4,718.3,812.0
