aX,aY,aZ
62.5,156.2,1108.7
437.2,31.2,1077.5
374.8,140.5,983.8
171.8,0.0,1186.8
-265.5,78.1,1155.6
-359.2,-93.7,1077.5
-265.5,-124.9,780.8
-62.5,31.2,827.6
421.6,-31.2,734.0
421.6,31.2,858.9
296.7,-109.3,858.9
31.2,15.6,999.4
-234.2,-140.5,890.1
-468.5,-46.8,1140.0
-93.7,-46.8,1155.6
62.5,124.9,1077.5
452.9,31.2,1077.5
374.8,124.9,968.2
156.2,-31.2,1249.3
-281.1,-15.6,952.6
-343.6,-78.1,890.1
-203.0,-109.3,780.8
-46.8,15.6,827.6
421.6,-31.2,983.8
421.6,62.5,843.3
312.3,-109.3,1124.4
-171.8,31.2,1030.7
-218.6,-93.7,1202.4
-499.7,46.8,1140.0
-62.5,-46.8,890.1
234.2,93.7,983.8
437.2,31.2,843.3
359.2,46.8,890.1
124.9,-46.8,1218.0
-281.1,-15.6,890.1
-359.2,-109.3,827.6
-187.4,-93.7,890.1
-31.2,31.2,796.4
406.0,-46.8,937.0
437.2,46.8,827.6
343.6,-109.3,1140.0
-156.2,31.2,1171.2
-296.7,-109.3,1202.4
-390.4,15.6,1140.0
-46.8,15.6,890.1
218.6,93.7,1015.0
437.2,46.8,874.5
421.6,78.1,952.6
140.5,-15.6,999.4
-312.3,0.0,905.7
-359.2,-93.7,827.6
-171.8,-109.3,874.5
-78.1,15.6,765.2
374.8,-46.8,983.8
421.6,62.5,921.3
343.6,-109.3,1233.7
-187.4,46.8,1030.7
-218.6,-109.3,1202.4
-484.1,31.2,1140.0
-62.5,-62.5,921.3
249.9,109.3,1108.7
452.9,46.8,905.7
390.4,62.5,952.6
140.5,-15.6,1015.0
-249.9,-15.6,905.7
-437.2,-93.7,890.1
-187.4,-203.0,890.1
-78.1,31.2,1046.3
452.9,-46.8,952.6
421.6,124.9,1030.7
203.0,-62.5,1249.3
-312.3,78.1,1218.0
-281.1,-93.7,1155.6
-374.8,-46.8,874.5
-62.5,-15.6,734.0
249.9,0.0,718.3
468.5,31.2,890.1
406.0,62.5,812.0
140.5,15.6,937.0
-265.5,-15.6,843.3
-452.9,-109.3,843.3
-203.0,-187.4,874.5
-62.5,31.2,1077.5
452.9,-46.8,921.3
406.0,140.5,1046.3
187.4,-62.5,1280.5
-296.7,93.7,1186.8
-265.5,-109.3,1124.4
-390.4,-46.8,937.0
-78.1,0.0,702.7
249.9,15.6,749.6
468.5,46.8,874.5
390.4,62.5,812.0
78.1,0.0,905.7
-281.1,-15.6,905.7
-359.2,-109.3,827.6
-187.4,-93.7,843.3
-62.5,31.2,780.8
406.0,-31.2,968.2
421.6,46.8,858.9
327.9,-62.5,1124.4
-156.2,31.2,1186.8
-296.7,-93.7,1186.8
-484.1,46.8,1186.8
-46.8,-46.8,952.6
249.9,109.3,999.4
421.6,46.8,905.7
390.4,62.5,905.7
140.5,-31.2,937.0
-281.1,0.0,905.7
-359.2,-78.1,890.1
-171.8,-93.7,827.6
-62.5,15.6,812.0
390.4,-46.8,765.2
421.6,46.8,874.5
327.9,-109.3,827.6
15.6,46.8,1030.7
-218.6,-140.5,874.5
-484.1,-15.6,1171.2
-78.1,-62.5,1124.4
62.5,93.7,1015.0
421.6,31.2,1061.9
374.8,124.9,952.6
109.3,-15.6,1202.4
-281.1,0.0,843.3
-359.2,-93.7,1030.7
-203.0,-124.9,796.4
-62.5,31.2,718.3
437.2,-31.2,765.2
406.0,31.2,890.1
296.7,-109.3,858.9
31.2,15.6,1015.0
-234.2,-156.2,1264.9
-484.1,-15.6,1124.4
-62.5,-46.8,1171.2
62.5,109.3,1046.3
437.2,15.6,827.6
359.2,46.8,890.1
124.9,-46.8,1202.4
-281.1,-15.6,874.5
-374.8,-78.1,858.9
-171.8,-124.9,858.9
-62.5,15.6,796.4
421.6,-46.8,937.0
406.0,46.8,827.6
327.9,-109.3,1093.1
-156.2,46.8,1202.4
-296.7,-93.7,1249.3
-468.5,31.2,1124.4
-62.5,-15.6,890.1
296.7,93.7,1015.0
421.6,31.2,843.3
406.0,46.8,983.8
140.5,-31.2,999.4
-265.5,-15.6,890.1
-374.8,-93.7,812.0
-171.8,-109.3,874.5
-31.2,0.0,1077.5
406.0,-15.6,999.4
421.6,31.2,874.5
327.9,-46.8,1140.0
-187.4,15.6,1124.4
-265.5,-93.7,1218.0
-468.5,46.8,1155.6
-46.8,-62.5,937.0
249.9,93.7,968.2
421.6,46.8,827.6
390.4,62.5,983.8
140.5,-15.6,1015.0
-265.5,-31.2,874.5
-374.8,-78.1,952.6
-171.8,-124.9,843.3
0.0,31.2,1140.0
421.6,-46.8,952.6
421.6,46.8,858.9
312.3,-140.5,1155.6
-156.2,46.8,1186.8
-265.5,-78.1,1280.5
-452.9,15.6,1155.6
-62.5,-62.5,858.9
296.7,93.7,968.2
437.2,46.8,874.5
374.8,62.5,952.6
203.0,-15.6,952.6
-281.1,-31.2,874.5
-374.8,-109.3,796.4
-156.2,-124.9,983.8
-78.1,15.6,812.0
421.6,-46.8,983.8
406.0,31.2,921.3
327.9,-124.9,1186.8
-203.0,46.8,1140.0
-296.7,-93.7,1233.7
-359.2,15.6,1155.6
-62.5,-15.6,890.1
296.7,93.7,952.6
421.6,15.6,858.9
390.4,31.2,858.9
140.5,-15.6,968.2
-281.1,-46.8,843.3
-390.4,-62.5,874.5
-140.5,-124.9,937.0
-46.8,0.0,843.3
421.6,-62.5,1015.0
406.0,15.6,890.1
312.3,-124.9,1186.8
-171.8,46.8,1264.9
-265.5,-93.7,1280.5
-468.5,0.0,1140.0
-62.5,-78.1,890.1
93.7,93.7,983.8
437.2,78.1,1077.5
374.8,46.8,827.6
124.9,-31.2,1155.6
-281.1,-62.5,921.3
-374.8,-109.3,780.8
-140.5,-156.2,968.2
-62.5,15.6,812.0
437.2,0.0,999.4
406.0,46.8,905.7
281.1,-140.5,937.0
-15.6,31.2,1077.5
-249.9,-124.9,1249.3
-468.5,15.6,1155.6
-62.5,-62.5,1093.1
109.3,93.7,1015.0
437.2,78.1,796.4
374.8,31.2,843.3
93.7,-31.2,1155.6
-281.1,-15.6,905.7
-390.4,-109.3,905.7
-140.5,-171.8,874.5
-46.8,0.0,843.3
437.2,-78.1,1046.3
406.0,46.8,905.7
281.1,-140.5,1218.0
-187.4,62.5,1140.0
-281.1,-93.7,1264.9
-468.5,0.0,1093.1
-15.6,-46.8,812.0
124.9,78.1,921.3
421.6,62.5,1030.7
374.8,0.0,874.5
156.2,-31.2,1202.4
-265.5,-31.2,874.5
-374.8,-109.3,843.3
-156.2,-171.8,812.0
0.0,0.0,874.5
359.2,-62.5,749.6
406.0,62.5,999.4
343.6,-140.5,968.2
-46.8,-15.6,1140.0
-218.6,-124.9,1030.7
-468.5,46.8,1218.0
-62.5,-31.2,1093.1
140.5,156.2,905.7
406.0,78.1,999.4
390.4,109.3,827.6
140.5,-46.8,1077.5
-265.5,-62.5,812.0
-390.4,-124.9,890.1
-124.9,-187.4,968.2
31.2,0.0,890.1
437.2,-78.1,780.8
390.4,93.7,1030.7
281.1,-109.3,1233.7
-234.2,62.5,1155.6
-281.1,-93.7,1280.5
-452.9,0.0,1140.0
-93.7,-46.8,1077.5
156.2,78.1,874.5
437.2,109.3,983.8
390.4,0.0,843.3
109.3,-31.2,1061.9
-281.1,-78.1,843.3
-390.4,-109.3,905.7
-109.3,-187.4,796.4
-15.6,-15.6,890.1
452.9,46.8,1061.9
406.0,109.3,968.2
265.5,-62.5,1233.7
-249.9,93.7,1202.4
-312.3,-109.3,1264.9
-281.1,-15.6,1077.5
-62.5,-78.1,812.0
327.9,62.5,702.7
421.6,62.5,765.2
374.8,-15.6,827.6
124.9,-15.6,921.3
-281.1,-93.7,874.5
-484.1,-46.8,952.6
-93.7,-93.7,1015.0
0.0,-15.6,1015.0
452.9,46.8,1124.4
390.4,78.1,1015.0
171.8,-46.8,1233.7
-234.2,62.5,1202.4
-265.5,-93.7,1093.1
-281.1,-15.6,1093.1
-15.6,-109.3,812.0
327.9,-31.2,780.8
406.0,46.8,905.7
343.6,-109.3,874.5
-15.6,-15.6,1030.7
-249.9,-156.2,921.3
-468.5,0.0,1155.6
-78.1,-46.8,1155.6
78.1,156.2,1061.9
452.9,78.1,1077.5
343.6,109.3,1030.7
156.2,-15.6,1186.8
-281.1,-31.2,874.5
-406.0,-109.3,780.8
-124.9,-140.5,796.4
-31.2,0.0,874.5
406.0,-62.5,765.2
421.6,46.8,968.2
312.3,-140.5,905.7
0.0,46.8,1093.1
-203.0,-140.5,999.4
-468.5,0.0,1155.6
-46.8,-62.5,1186.8
109.3,156.2,1077.5
468.5,93.7,1108.7
374.8,109.3,812.0
156.2,-15.6,1202.4
-265.5,46.8,827.6
-374.8,-109.3,1046.3
-171.8,-140.5,874.5
0.0,15.6,827.6
437.2,-46.8,734.0
406.0,62.5,905.7
296.7,-124.9,952.6
0.0,62.5,1093.1
-296.7,-124.9,1046.3
-468.5,15.6,1186.8
-78.1,-46.8,1124.4
109.3,171.8,1061.9
421.6,78.1,1046.3
374.8,124.9,874.5
140.5,-31.2,1218.0
-281.1,-31.2,890.1
-374.8,-109.3,858.9
-156.2,-156.2,905.7
-31.2,15.6,843.3
437.2,-78.1,1093.1
421.6,46.8,890.1
312.3,-62.5,1233.7
-203.0,62.5,1233.7
-296.7,-93.7,1296.1
-468.5,0.0,1155.6
-31.2,-62.5,890.1
124.9,78.1,905.7
390.4,78.1,749.6
390.4,15.6,843.3
109.3,-15.6,1124.4
-281.1,-46.8,796.4
-390.4,-109.3,780.8
-140.5,-156.2,968.2
-31.2,-15.6,812.0
