aX,aY,aZ
-249.9,-31.2,952.6
-78.1,-78.1,1015.0
140.5,156.2,890.1
140.5,-187.4,968.2
140.5,-156.2,1046.3
-31.2,93.7,983.8
-249.9,-140.5,1124.4
-78.1,-46.8,937.0
109.3,140.5,890.1
187.4,-78.1,921.3
156.2,-78.1,1093.1
-109.3,-109.3,968.2
-124.9,-109.3,1093.1
-140.5,156.2,983.8
78.1,15.6,968.2
203.0,-46.8,890.1
218.6,0.0,983.8
-46.8,-109.3,999.4
-62.5,-156.2,1061.9
-109.3,156.2,874.5
15.6,-46.8,937.0
78.1,-124.9,843.3
187.4,109.3,1093.1
203.0,-187.4,1046.3
-31.2,0.0,905.7
-249.9,-93.7,937.0
-15.6,0.0,999.4
109.3,187.4,1015.0
187.4,-93.7,983.8
124.9,-140.5,1015.0
-78.1,15.6,999.4
-171.8,-62.5,1124.4
-140.5,46.8,890.1
31.2,93.7,1030.7
281.1,-93.7,905.7
218.6,31.2,1046.3
-62.5,-187.4,968.2
-46.8,-156.2,1155.6
-62.5,187.4,937.0
15.6,31.2,983.8
62.5,46.8,843.3
140.5,-15.6,1077.5
187.4,-140.5,999.4
-93.7,15.6,1077.5
-249.9,124.9,1015.0
15.6,-124.9,968.2
140.5,171.8,921.3
203.0,-109.3,952.6
124.9,-140.5,1030.7
15.6,93.7,999.4
-187.4,-124.9,968.2
-93.7,124.9,1015.0
156.2,46.8,1030.7
234.2,-109.3,905.7
124.9,-62.5,983.8
-109.3,-15.6,952.6
-78.1,-187.4,1140.0
-171.8,203.0,874.5
93.7,93.7,999.4
171.8,-93.7,952.6
187.4,62.5,999.4
15.6,-93.7,890.1
-62.5,-124.9,968.2
-187.4,62.5,858.9
0.0,46.8,983.8
109.3,78.1,937.0
171.8,-156.2,952.6
109.3,-187.4,1030.7
-31.2,140.5,1015.0
-203.0,-78.1,1030.7
-93.7,15.6,1046.3
218.6,156.2,968.2
234.2,-93.7,937.0
124.9,-15.6,1046.3
-109.3,-78.1,999.4
-62.5,-109.3,1202.4
-140.5,109.3,937.0
78.1,78.1,1030.7
203.0,-124.9,890.1
171.8,124.9,968.2
-46.8,-109.3,999.4
-78.1,-78.1,1140.0
-46.8,249.9,937.0
15.6,-46.8,968.2
109.3,-62.5,812.0
156.2,140.5,1030.7
93.7,-140.5,1061.9
-78.1,31.2,999.4
-234.2,0.0,968.2
-46.8,-62.5,1015.0
140.5,156.2,937.0
171.8,-203.0,968.2
140.5,-156.2,1093.1
-15.6,-31.2,1015.0
-249.9,-109.3,937.0
-46.8,-62.5,968.2
124.9,140.5,937.0
203.0,-93.7,905.7
171.8,-78.1,983.8
-78.1,-109.3,1077.5
-140.5,-156.2,1108.7
-140.5,140.5,874.5
15.6,78.1,1015.0
218.6,-109.3,937.0
171.8,15.6,983.8
-78.1,-124.9,968.2
-109.3,-124.9,1140.0
-156.2,187.4,890.1
46.8,62.5,983.8
156.2,-109.3,827.6
140.5,187.4,983.8
78.1,-156.2,905.7
-31.2,0.0,983.8
-156.2,62.5,999.4
-15.6,-78.1,1015.0
171.8,156.2,921.3
203.0,-140.5,937.0
124.9,-93.7,999.4
0.0,-15.6,952.6
-156.2,-93.7,1046.3
-124.9,78.1,890.1
46.8,31.2,1030.7
265.5,-46.8,921.3
203.0,15.6,1061.9
-93.7,-187.4,999.4
-93.7,-124.9,1171.2
-93.7,156.2,937.0
46.8,62.5,983.8
93.7,-62.5,858.9
124.9,46.8,1077.5
187.4,-156.2,1108.7
-62.5,31.2,952.6
-265.5,124.9,952.6
